system_id,word,ner
1,台積電,ORG
1,全年,DATE
1,聯發科,ORG
1,陳玉娟,PERSON
1,台積電,ORG
1,第季,ORDINAL
1,下半年,DATE
1,全年,DATE
1,全年,DATE
1,台積電,ORG
1,聯發科,ORG
1,蘋果,ORG
1,第季,ORDINAL
1,下半年,DATE
1,台積電,ORG
1,台積電,ORG
1,年初,DATE
1,下半年,DATE
1,台積電,ORG
1,台積電,ORG
1,中國,GPE
1,五,CARDINAL
1,矽谷銀行,ORG
1,瑞士,GPE
1,歐美,LOC
1,台灣,GPE
1,台積電,ORG
1,上半年,DATE
1,下半年,DATE
1,近日,DATE
1,下半年,DATE
1,台積電,ORG
1,聯發科,ORG
1,中國,NORP
1,小米,ORG
1,第季,ORDINAL
1,台積電奈米奈米,ORG
1,台積電,ORG
1,第季,ORDINAL
1,台積電,ORG
1,第季,DATE
1,英特爾,ORG
1,歐,LOC
1,台積電,ORG
1,第季,ORDINAL
1,下半年,DATE
1,全年,DATE
1,台積電,ORG
1,環球晶,ORG
1,徐秀蘭,PERSON
1,歐美,LOC
1,第季,ORDINAL
1,第季,ORDINAL
1,第季,ORDINAL
1,前兩年,DATE
2,台積電,ORG
2,台積電,ORG
2,兩天,DATE
3,劉德音,PERSON
3,美國,GPE
3,台積電,ORG
3,劉德音,PERSON
3,美國,GPE
3,台灣,GPE
3,台灣半導體產業協會,ORG
3,日,GPE
3,台積電,ORG
3,美國,GPE
3,劉德音,PERSON
3,美國,GPE
3,劉德音,PERSON
3,美國,GPE
3,台灣,GPE
3,美國,GPE
3,台灣,NORP
3,美國,GPE
3,中國,GPE
3,劉德音,PERSON
3,台積電,ORG
3,去年,DATE
3,中時,ORG
3,中時,ORG
3,美國,GPE
3,美國,GPE
3,億鎂,PERSON
3,台積電美國廠,ORG
3,美國,GPE
3,中國人,NORP
3,劉德音,PERSON
3,劉董,PERSON
3,美中大戰,EVENT
3,劉董,PERSON
3,美國,GPE
3,日本,GPE
3,劉董,PERSON
3,美仔,PERSON
3,中國,GPE
3,美國,GPE
3,疑美仔,PERSON
3,台積電奈米,ORG
3,半年,DATE
3,美仔,GPE
3,美仔,GPE
4,美,GPE
4,劉忠勇,PERSON
4,黃淑玲,PERSON
4,尹慧中,PERSON
4,美國商務部,ORG
4,本周五日,DATE
4,月日,DATE
4,台積電,ORG
4,美國,GPE
4,亞利桑那州,GPE
4,美,GPE
4,商務部,ORG
4,台積電,ORG
4,日,GPE
4,台積電,ORG
4,昨日,DATE
4,美國,GPE
4,億美元,MONEY
4,美國,GPE
4,英特爾台積電,ORG
4,三星,ORG
4,商務部,ORG
4,美國,GPE
4,第年,DATE
4,商務部,ORG
4,美國,GPE
4,路透,ORG
4,商務部,ORG
4,台積電,ORG
4,台積電,ORG
4,美國,NORP
4,億鎂,CARDINAL
4,美國,NORP
4,台積電美國廠,ORG
4,美國,GPE
4,億美元,MONEY
4,億,CARDINAL
4,台店法,PERSON
4,美國,GPE
4,美國,GPE
4,台積電,ORG
4,中國,GPE
4,劉董,PERSON
5,台積電,ORG
5,阿共,PERSON
5,小英,PERSON
5,五號,DATE
5,麥卡錫,PERSON
5,六號,DATE
5,六號,DATE
5,阿共,ORG
5,下週,DATE
5,今天,DATE
5,今天,DATE
6,台灣,GPE
6,劉佩真,PERSON
6,美國,GPE
6,台灣,GPE
6,韓國,GPE
6,日本,GPE
6,歐洲,LOC
6,中國,GPE
6,美國,GPE
6,台灣,GPE
6,韓國,GPE
6,日本,GPE
6,中國,GPE
6,台灣,GPE
6,台灣半導體,ORG
6,美國,GPE
6,美方,NORP
6,台,GPE
6,美,GPE
6,台積電,ORG
6,台灣,GPE
6,美國,GPE
6,韓國,GPE
6,台灣,GPE
6,台積電,ORG
6,台積電奈米,ORG
6,奈米奈米製程,ORG
6,林俊成,PERSON
6,半導體部門先進封裝業務組,ORG
6,",億美元",MONEY
6,尹錫悅,PERSON
6,政府,ORG
6,南韓,GPE
6,台積電,ORG
6,台灣,GPE
6,韓國,GPE
6,中國,GPE
6,台灣,GPE
6,美,GPE
6,中國,GPE
6,兩岸,LOC
6,美,GPE
6,中,GPE
6,兩岸,LOC
6,日本,GPE
6,歐洲,LOC
6,台灣,GPE
6,日本,GPE
6,台積電,ORG
6,日本,NORP
6,日本,GPE
6,台灣,GPE
6,台,GPE
6,日,GPE
6,日本,GPE
6,美國,GPE
6,日本半導體,ORG
6,日本,GPE
6,第三,ORDINAL
6,四成,CARDINAL
6,十,CARDINAL
6,第三,ORDINAL
6,日本,GPE
6,日本,GPE
6,台灣,GPE
6,台,GPE
6,台灣,GPE
6,日本,GPE
6,台,GPE
6,日,GPE
6,日本,GPE
6,台灣公司,ORG
6,韓國,GPE
6,台灣,GPE
6,中國,GPE
6,台灣,GPE
6,台灣,GPE
6,日本,GPE
6,台灣,GPE
7,南韓,GPE
7,美晶片,PERSON
7,美國商務部,ORG
7,美國,GPE
