system_id,sentence
1,特別預算
1,特別預算
1,預防發生重大意外時的救命錢
1,億防疫
1,高端合約封存年
1,沒有會議紀錄
1,前瞻
1,數位部直出國妖獸讚
1,台電破產電價又漲
1,加蛋
1,查年查完沒
1,我讀書少
1,你不要騙我
1,監察院查兆億特別預算查到哪
2,備註請放最後面違者新聞文章刪除
2,媒體來源壹蘋新聞網
2,記者署名記者蘇柏銓台北報導
2,完整新聞標題副手辯論趙少康當選捐出年薪水官邸變青年住宅
2,完整新聞內文
2,大選倒數天，副總統候選人辯論會今下午時正式登場，國民黨趙少康民進黨蕭美琴民眾黨吳欣盈近身駁火，替各自主帥辯駁，爭取選民支持
2,在第輪申論環節，趙少康宣布，當場辭去中廣董事長職，並現場簽名
2,痛斥賴清德的違建問題，同時他也現場宣示，若當選副總統後，他年的副總統薪水跟福利都不要，仁愛路的副總統官邸也不住，要拿出來做青年住宅，並且通通免費水電費我出
2,趙少康申論時現場拿出中廣董事長辭職書，表示我要宣布，辭去中廣董事長
2,這是我的辭職書，我現場簽名
2,趙少康痛斥，他直在等賴清德，望穿秋水，賴清德的違建是回事，他旁邊的違法房子國安租用，特勤使用還幫修繕，幾個特勤看守非法的幽靈房屋，還是賴兒子的，他算幾個人，個人萬，年萬，年萬，加上雜費，總計花費萬
2,趙少康進步表示，辭掉中廣董事長以外，他也深自檢討，副總統能做什麼，因此他鄭重宣布，當選後副總統年薪水福利，我通通不要
2,趙少康說，仁愛路的副總統官邸他也不住，他要做青年住宅，更嗆賴清德違建蓋起來至少可以住個青年，副手官邸裡面應該可以住幾個人，通通免費，由年輕人抽籤，水電費我出
2,完整新聞連結或短網址不可用等轉載媒體
2,///
2,備註
2,乾好想抽副總統官邸住喔
2,還不用繳水電欸
3,國安局賴清德萬里老家警衛據點每月花八千元租賃
3,聯合報記者洪哲政
3,國安局今天表示，副總統賴清德萬里老家警衛據點預算支用，每月僅支出元租賃及必
3,要水電費用，並未新增人員及預算
3,針對副總統候選人辯論會提及賴副總統萬里老家警衛據點預算支用情形，國安局今天聲明表
3,示，有關副總統賴清德萬里老家警衛據點預算支用，特勤中心依據特勤條例等規定執行勤務
3,，駐地安全人員均由現行副總統警衛室依既定員額及編組，派遣最少人力執行，每月僅支出
3,元符合市價租賃及必要水電費用，並無新增人員及預算
3,國安局今天表示，該駐地相關設備用品及崗亭，均為歷次警衛據點重複使用的堪品，非屬
3,新購物品，絕無所謂支出高額預算與費用情事
3,//////
3,人力成本不算錢
4,備註請放最後面違者新聞文章刪除
4,媒體來源
4,聯合報
4,記者署名
4,張睿廷
4,完整新聞標題
4,趙少康轟民進黨執政年次大停電蕭美琴回擊台灣不缺電
4,完整新聞內文
4,///
4,民進黨副總統候選人蕭美琴遭質疑台灣現在面臨的缺電缺水缺工等危機該如何解決
4,蕭美琴表示，台灣不缺電，台電資訊透明公開，大家都可以上網去查資訊
4,圖
4,台北市攝影記者聯誼會提供
4,副總統候選人辯論會今登場，交互詰問部分，國民黨副總統候選人趙少康質疑，民進黨副
4,總統候選人蕭美琴稱台灣基礎建設很好，請問現在的缺電缺水缺地缺工缺人是什
4,麼狀況
4,蔡英文總統執政年大停電次，以後可能更多，電費還會上漲
4,蕭美琴回應第
4,個要講的是台灣不缺電，台電資訊透明公開，大家都可以上網去查資訊
4,趙少康提問時表示，蕭美琴剛說台灣基礎建設相當好，請問中華民國現在社會上的缺電
4,缺水缺地缺工缺人算什麼
4,怎麼會很好
4,前總統馬英九執政時，年沒有停過次電
4,，蔡英文總統執政年，大停電次，而且今後還可能會不斷停電，電費也不斷上漲，建設
4,怎麼會好
4,趙少康說，自己也想請教蕭美琴吳欣盈，你們都曾經是美國人，也曾經宣誓效忠美國
4,，如果中華民國台灣利益與美國衝突時，雙方會選擇什麼
4,兩人會效忠誰
4,趙少康最後說，大家都知道美國人喜歡蕭美琴，但台積電到美國投資，台積電創辦人張忠
4,謀說成本起碼上漲以上，而且可能還不止，民進黨這樣逼得台積電董事長劉德音辭職
4,，當然對外也許會說家庭，身體問題，其實就是因為在美國建廠不順，就因為台積電的成
4,本要增加太多
4,美國人那麼喜歡蕭美琴，是否有好好的用這個關係協助台積電
4,蕭美琴回應，第個台灣不缺電，台灣備載容量最低時，是前總統馬英九交接給蔡英文總
4,統的年月，政府這幾年努力下，全面投資再生能源，使比例逐步提高，現在有沒有
4,缺電，資訊公開透明，如果有手機都可以上網查，台電每天都會將備轉容量公諸於世
4,蕭美琴表示，為什麼會停電
4,停電跟缺電是兩回事，大家都知道我國需要強化電網韌性，
4,也就政府編列預算來支持，台電的智慧電網及小型電網，更具韌性的電網，都是長期基建
4,設當中相當重要的
4,蕭美琴說，資安也是，美國也曾經有能源管線被駭客入侵，我國也重視數位環境的安全，
4,確保整體基礎建設的韌性
4,有關水問題，也是因為現在氣候變遷百年大疫，當然會出現
4,旱災，但因有前瞻部屬，超前布局，翡翠水庫共飲計畫，這也是在民進黨主席賴清德擔任
4,行政院長任內核定的計畫，他們全面建設水環境水資源運用，讓國家不缺水
4,蕭美琴最後說，台積電赴美碰到的障礙，他們起面對，他們基於客戶需求在做全球布局
4,，不是讓大家在這邊扯後腿，應該要給台積電最好的支持
4,吳欣盈則說，柯盈配主張就是核二核三延役，核四盡速討論下階段如何處理，對她而
4,言，講到能源政策，就是講到產業能否有競爭力
4,台灣是製造業為主的國家，如果能源昂
4,貴，甚至不綠，台灣產業沒有競爭力，在經濟安全思考下，要確保經濟安全，也有兼任產
4,業，要解決這些問題，穩定水的供應
